Name,Rank,Count
Aharon,"2,301",9
Ahcene,[x],[x]
Aheed,[x],[x]
Ahil,"1,782",13
Ahiyaan,"3,990",4
Ahiyan,[x],[x]
Ahmad,256,186
Ahmad-Raza,[x],[x]
Ahmadou,"3,017",6
Ahmar,[x],[x]
Ahmed,209,254
Ahmed-Raza,[x],[x]
Ahmer,[x],[x]
Ahmet,"1,860",12
Ahnaf,"1,782",13
Ahren,[x],[x]
Ahron,"2,125",10
Ahsaan,"4,789",3
Ahsan,"1,782",13
Ahsanul,[x],[x]
Ahsen,[x],[x]
Ahtisham,[x],[x]
Ahtsham,[x],[x]
Ahyaan,"4,789",3
Ahyan,"1,516",16
Ahzab,[x],[x]
Aian,[x],[x]
Aibel,[x],[x]
Aidaan,[x],[x]
Aidan,188,289
Aidan-James,[x],[x]
Aidas,[x],[x]
Aiden,124,469
Aiden-James,"4,789",3
Aiden-Jay,[x],[x]
Aiden-Lee,[x],[x]
Aidey,[x],[x]
Aidon,[x],[x]
Aidric,"4,789",3
Aidy,[x],[x]
Aidyn,[x],[x]
Aihaan,[x],[x]
Aiham,[x],[x]
Aihan,"3,017",6
Aijaz,[x],[x]
Aikam,[x],[x]
Aiken,[x],[x]
Ailan,[x],[x]
Ailbe,"4,789",3
Ailbhe,[x],[x]
Aimal,[x],[x]
Aiman,"2,125",10
Aimar,[x],[x]
Aime,[x],[x]
Aimen,"4,789",3
Ainsleigh,[x],[x]
Ainsley,"3,451",5
Ainslie,[x],[x]
Airen,[x],[x]
Aires,[x],[x]
Airidas,[x],[x]
Airon,[x],[x]
Aironas,[x],[x]
Aisa,[x],[x]
Aisea,[x],[x]
Aisosa,[x],[x]
Aissa,[x],[x]
Aistis,[x],[x]
Aithan,"4,789",3
Aitor,[x],[x]
Aivaras,[x],[x]
Aiyaan,[x],[x]
Aiyan,"4,789",3
Aiyaz,"3,990",4
Aiyden,"4,789",3
Aiyush,[x],[x]
Aizaan,[x],[x]
Aizen,"2,125",10
Aj,888,34
Ajahni,[x],[x]
Ajai,[x],[x]
Ajaib,"3,990",4
Ajan,"3,017",6
Ajani,"2,730",7
Ajanthan,[x],[x]
Ajax,"2,301",9
Ajay,784,42
Ajaye,[x],[x]
Ajaz,[x],[x]
Ajeet,"1,984",11
Ajesh,[x],[x]
Ajhar,[x],[x]
Ajibola,[x],[x]
Ajit,"1,984",11
Ajmal,"4,789",3
Ajus,"3,017",6
Ajwad,[x],[x]
Akaal,"1,688",14
Akaaldeep,[x],[x]
Akaash,[x],[x]
Akachi,[x],[x]
Akachukwu,[x],[x]
Akai,[x],[x]
Akain,[x],[x]
Akal,[x],[x]
Akam,[x],[x]
Akan,[x],[x]
Akar,[x],[x]
Akaran,"3,451",5
Akari,"3,990",4
Akarsh,[x],[x]
Akash,"2,125",10
Akashdeep,[x],[x]
Akay,"4,789",3
Akbar,"4,789",3
Akber,[x],[x]
Akeal,[x],[x]
Akeeb,[x],[x]
Akeel,"3,451",5
Akeem,"1,595",15
Akein,[x],[x]
Akhari,[x],[x]
Akheel,[x],[x]
Akhil,"4,789",3
Akhlaq,[x],[x]
Akhtar,[x],[x]
Aki,"3,990",4
Akia,[x],[x]
Akib,[x],[x]
Akiel,[x],[x]
Akif,[x],[x]
Akihiro,[x],[x]
Akikur,[x],[x]
Akil,[x],[x]
Akilan,"4,789",3
Akim,"1,184",23
Akin,"4,789",3
Akinlolu,[x],[x]
Akinola,[x],[x]
Akintayo,[x],[x]
Akintola,[x],[x]
Akintomiwa,[x],[x]
Akintunde,[x],[x]
Akinyemi,[x],[x]
Akio,[x],[x]
Akira,"3,017",6
Akiro,[x],[x]
Akito,[x],[x]
Akiva,"1,688",14
Akmal,[x],[x]
Akorede,[x],[x]
Akos,"3,451",5
Akram,939,32
Aksayan,[x],[x]
Aksel,"1,688",14
Aksh,"3,990",4
Akshaj,[x],[x]
Akshan,[x],[x]
Akshar,"3,017",6
Aksharan,[x],[x]
Akshat,[x],[x]
Akshath,[x],[x]
Akshay,"3,451",5
Akshayan,"3,990",4
Akshaye,[x],[x]
Akshayen,[x],[x]
Akshit,[x],[x]
Akshith,[x],[x]
Akwasi,[x],[x]
Al,"1,984",11
Al-Ameen,[x],[x]
Al-Amin,"4,789",3
Al-Yasa,[x],[x]
Ala,[x],[x]
Alaa,[x],[x]
Aladdin,[x],[x]
Alagie,[x],[x]
Alain,[x],[x]
Alakai,"3,990",4
Alam,[x],[x]
Alameen,[x],[x]
Alamin,[x],[x]
Alan,352,127
Alanas,"4,789",3
Aland,[x],[x]
Alans,[x],[x]
Alaric,"2,301",9
Alarik,[x],[x]
Alasdair,"1,448",17
Alastair,871,35
Alaz,"1,984",11
Alazar,[x],[x]
Alban,"1,595",15
Albano,[x],[x]
Albara,[x],[x]
Albaraa,[x],[x]
Albe,[x],[x]
Albee,"3,451",5
Alben,"4,789",3
Alber,[x],[x]
Albert,58,"1,091"
Albert-James,"4,789",3
Albert-Joe,[x],[x]
Alberto,"1,139",24
Albey,"2,730",7
Albi,676,53
Albie,32,"1,729"
Albie-Beau,"4,789",3
Albie-George,"3,017",6
Albie-Jack,"3,990",4
Albie-James,"1,391",18
Albie-Jax,"3,990",4
Albie-Jay,"2,493",8
Albie-Joe,[x],[x]
Albie-John,"3,017",6
Albie-Lee,"2,301",9
Albie-Paul,[x],[x]
Albie-Ray,[x],[x]
Albin,[x],[x]
Albion,"3,017",6
Alborz,"3,990",4
Albus,"3,017",6
Alby,539,72
Alby-Lee,"4,789",3
Alden,"1,595",15
Alder,[x],[x]
Aldin,[x],[x]
Aldion,[x],[x]
Aldo,"2,125",10
Aldous,"4,789",3
Aldrich,[x],[x]
Aldrin,"4,789",3
Aldwin,[x],[x]
Alec,659,55
Alechandro,[x],[x]
Aleck,[x],[x]
Alecsander,[x],[x]
Aleczander,"4,789",3
Aled,"2,125",10
Aleem,"1,984",11
Alehandro,[x],[x]
Aleister,[x],[x]
Aleix,[x],[x]
Alejandro,"1,218",22
Alek,"2,730",7
Alekh,[x],[x]
Aleks,"1,139",24
Aleksa,[x],[x]
Aleksandar,"1,688",14
Aleksander,324,141
Aleksandr,"1,688",14
Aleksandras,[x],[x]
Aleksandrs,"4,789",3
Aleksas,[x],[x]
Aleksei,"3,990",4
Aleksej,"4,789",3
Aleksejs,[x],[x]
Aleksey,"4,789",3
Aleksi,"4,789",3
Aleksis,[x],[x]
Alekss,[x],[x]
Aleksy,[x],[x]
Alem,[x],[x]
Alen,"3,451",5
Alend,[x],[x]
Alens,[x],[x]
Aleo,[x],[x]
Aleph,[x],[x]
Ales,[x],[x]
Alesandro,[x],[x]
Alesio,"3,451",5
Alessandro,610,61
Alessio,825,38
Alex,122,474
Alex-James,[x],[x]
Alex-Jay,[x],[x]
Alex-Junior,[x],[x]
Alexanda,[x],[x]
Alexandar,"4,789",3
Alexander,27,"1,830"
Alexander-James,[x],[x]
Alexandr,"2,493",8
Alexandre,"1,139",24
Alexandro,"3,990",4
Alexandros,695,50
Alexandru,348,128
Alexandru-Gabriel,[x],[x]
Alexavier,[x],[x]
Alexei,"2,730",7
Alexey,[x],[x]
Alexi,"3,017",6
Alexie,[x],[x]
Alexio,[x],[x]
Alexios,"3,451",5
Alexis,"1,595",15
Alexsander,[x],[x]
Alexy,[x],[x]
Alexzander,[x],[x]
Alf,"3,451",5
Alfee,[x],[x]
Alfey,[x],[x]
Alffi,"2,730",7
Alffie,[x],[x]
Alfi,[x],[x]
Alfie,16,"2,338"
Alfie-,[x],[x]
Alfie-Dean,[x],[x]
Alfie-George,"2,730",7
Alfie-Gray,[x],[x]
Alfie-J,[x],[x]
Alfie-Jack,"3,990",4
Alfie-Jae,[x],[x]
Alfie-Jai,[x],[x]
Alfie-James,939,32
Alfie-Jay,"2,125",10
Alfie-Joe,"3,451",5
Alfie-John,"3,451",5
Alfie-Joseph,[x],[x]
Alfie-Junior,[x],[x]
Alfie-Lee,"3,451",5
Alfie-Paul,[x],[x]
Alfie-Ray,"3,017",6
Alfie-Ryan,[x],[x]
Alfie-Thomas,[x],[x]
Alfie-William,"4,789",3
Alfiee,[x],[x]
Alfin,[x],[x]
Alfio,[x],[x]
Alfonse,[x],[x]
Alfonso,"2,730",7
Alfred,80,739
Alfredo,"2,730",7
Alfy,[x],[x]
Algernon,[x],[x]
Alhagie,[x],[x]
Alhaji,"3,990",4
Alhasan,[x],[x]
Alhassan,"4,789",3
Ali,141,399
Ali-Abbas,[x],[x]
Ali-Akbar,[x],[x]
Ali-Asghar,"3,451",5
Ali-Hassan,[x],[x]
Ali-Raza,[x],[x]
Aliabbas,[x],[x]
Aliakbar,[x],[x]
Alias,"3,017",6
Aliasghar,[x],[x]
Alican,[x],[x]
Alick,[x],[x]
Alie,[x],[x]
Alieu,"4,789",3
Alif,[x],[x]
Alihan,"3,990",4
Alijah,"1,448",17
Alim,"3,017",6
Alin,"2,493",8
Aliou,[x],[x]
Alioune,[x],[x]
Aliraza,[x],[x]
Alireza,[x],[x]
Alisan,[x],[x]
Alisdair,[x],[x]
Alishan,"4,789",3
Alisher,[x],[x]
Alisina,[x],[x]
Alistair,592,64
Alistar,[x],[x]
Alister,"2,730",7
Alix,[x],[x]
Alixander,[x],[x]
Aliyaan,"1,984",11
Aliyan,"2,730",7
Aliyar,"1,688",14
Aliyas,"4,789",3
Aliyu,[x],[x]
Allam,[x],[x]
Allan,"1,860",12
Allen,"3,990",4
Alli,[x],[x]
Allistair,[x],[x]
Allister,[x],[x]
Ally,[x],[x]
Almaan,[x],[x]
Almamy,[x],[x]
Alman,[x],[x]
Almas,[x],[x]
Almeer,[x],[x]
Almir,"3,017",6
Alois,[x],[x]
Alok,[x],[x]
Alom,[x],[x]
Alon,[x],[x]
Aloniab,[x],[x]
Alonso,"2,125",10
Alonzo,"2,493",8
Aloysius,"3,451",5
Alp,"3,017",6
Alparslan,"1,782",13
Alpaslan,[x],[x]
Alper,"4,789",3
Alperen,"4,789",3
Alpha,"3,017",6
Alphie,[x],[x]
Alphons,[x],[x]
Alphonse,[x],[x]
Alphonso,[x],[x]
Alphonsus,[x],[x]
Alphy,[x],[x]
Alroy,[x],[x]
Alston,[x],[x]
Altaf,[x],[x]
Altair,[x],[x]
Altan,"4,789",3
Altay,"3,990",4
Alteo,"2,301",9
Altin,[x],[x]
Alton,[x],[x]
Alun,[x],[x]
Alusine,[x],[x]
Alva,[x],[x]
Alvah,[x],[x]
Alvan,[x],[x]
Alvar,"4,789",3
Alvaro,"2,493",8
Alvey,471,86
Alvi,"1,984",11
Alvie,719,48
Alvin,907,33
Alvis,[x],[x]
Alvy,[x],[x]
Alvyn,[x],[x]
Alwaleed,[x],[x]
Alwin,[x],[x]
Alwyn,"3,017",6
Aly,[x],[x]
Alyaan,"1,516",16
Alyan,"2,125",10
Alyas,"4,789",3
Alyasa,[x],[x]
Alyn,[x],[x]
Alyx,[x],[x]
Amaad,[x],[x]
Amaan,729,47
Amaani,[x],[x]
Amaar,"2,493",8
Amaari,[x],[x]
Amaaz,[x],[x]
Amad,"3,990",4
Amadeo,"3,990",4
Amadeus,"3,990",4
Amadeusz,[x],[x]
Amadou,"4,789",3
Amadu,[x],[x]
Amal,[x],[x]
Aman,"1,078",26
Amandeep,[x],[x]
Amandip,[x],[x]
Amani,"3,451",5
Amanjeet,[x],[x]
Amanjit,[x],[x]
Amanjot,[x],[x]
Amann,[x],[x]
Amanpreet,[x],[x]
Amanraj,[x],[x]
Amanuel,"3,451",5
Amanullah,[x],[x]
Amanveer,[x],[x]
Amanvir,[x],[x]
Amar,738,46
Amara,[x],[x]
Amaray,[x],[x]
Amardeep,[x],[x]
Amare,"3,451",5
Amaree,[x],[x]
Amarey,[x],[x]
Amari,278,167
Amari-James,[x],[x]
