Value,Weight
OAKLEA,1
NORTHLANDS,1
NORTHCROFT,1
MIDDLEGATE,1
MAYFIELDS,1
MAYFAIR,1
KINGSFIELD,1
HAWTHORNS,1
GROVELANDS,1
GLENEAGLES,1
FIELDFARE,1
FERNBANK,1
FAIRHAVEN,1
DOWNSWAY,1
CROFTLANDS,1
CORNFIELDS,1
CHURCHSIDE,1
BURNBANK,1
BRIARWOOD,1
AVONDALE,1
WILLOWBANK,1
TURNBERRY,1
TOLLGATE,1
SPRINGWOOD,1
SOUTHCROFT,1
SEAGATE,1
SANDGATE,1
RUNNYMEDE,1
ROSEMOUNT,1
RIVERDALE,1
PINECROFT,1
OAKDALE,1
MURRAYFIELD,1
MORNINGSIDE,1
MOORFIELD,1
MIDDLEWAY,1
MEDWAY,1
MEADOWGATE,1
LINKSWAY,1
LARKFIELD,1
LARCHWOOD,1
LANGDALE,1
HEOL-Y-PARC,1
HEATHSIDE,1
HEATHLANDS,1
HAULFRYN,1
GRANGEWAY,1
FRESHFIELDS,1
ESKDALE,1
ENNERDALE,1
DANESWAY,1
DALESIDE,1
COVERDALE,1
CANALSIDE,1
BROADACRE,1
BRIDGEWAY,1
BRAMBLEWOOD,1
BIRKDALE,1
BARLEYCROFT,1
ASHMEAD,1
APPLEGARTH,1
