Value,Weight
Adeeba,3
Adeena,5
Adeeva,3
Adel,7
Adela,29
Adelaida,3
Adelaide,120
Adelaine,5
Adele,64
Adelia,6
Adelie,9
Adelina,64
Adeline,131
Adella,4
Adelola,3
Adelyn,19
Adelynn,3
Aden,5
Adepa,5
Aderyn,6
Adesuwa,4
Adhara,5
Adhira,3
Adhya,5
Adi,3
Adia,4
Adiba,4
Adina,20
Adira,11
Adithi,5
Aditi,23
Adiva,4
Adiya,3
Adleigh,3
Adley,10
Adlyn,4
Adna,3
Adora,16
Adria,5
Adriana,73
Adrianna,22
Adriel,3
Adriella,3
Adrielle,3
Adrija,7
Adrina,3
Advika,17
Adwoa,6
Adya,5
Aela,11
Aelfwynn,3
Aeliana,3
Aella,4
Aemilia,4
Aerin,5
Aeris,4
Aerith,7
Aeryn,12
Aesha,3
Aeva,6
Afeida,3
Afeni,3
Afia,11
Afifa,9
Afiya,9
Afiyah,34
Afnan,18
Afra,9
Afraa,3
Afrah,3
Afreen,10
Africa,3
Afsa,7
Afsana,5
Afsheen,4
Agape,3
Agata,17
Agatha,40
Agathe,3
Agnes,108
Agota,3
Ahaana,13
Ahana,19
Ahla,3
Ahlaam,4
Ahlam,7
Ahri,5
Ahsen,3
Ahuva,4
Aicha,3
Aida,138
Aidah,11
Aidy,4
Aife,3
Aika,3
Aikaterini,5
Aiko,4
Aila,99
Ailah,3
Ailbhe,17
Aileen,4
Ailie,4
Ailis,3
Ailish,6
Ailsa,21
Ailyn,6
Aima,30
Aimah,5
Aiman,28
Aimee,28
Aimen,3
Ain,3
Aina,3
Aine,26
Ainsleigh,3
Ainsley,9
Aira,25
Airah,25
Airlie,4
Aisa,5
Aisha,414
Aisha-Noor,3
Aishah,27
Aisla,6
Aisling,19
Aislinn,3
Aisosa,4
Aitana,7
Aiva,11
Aivah,5
Aiya,24
Aiyana,19
Aiyanna,5
Aiyla,101
Aiyla-Noor,3
Aiylah,11
Aiyza,4
Aiza,149
Aizah,133
Aizal,7
Aizel,7
Aja,3
Ajla,11
Ajooni,21
Ajuni,6
Ajwa,24
Akari,3
Akeelah,3
Akilah,3
Akira,32
Aksa,3
Akshara,15
Akshaya,6
Akua,5
Akvile,3
Alaa,21
Alaaya,5
Alabama,5
Alaia,163
Alaia-Mae,6
Alaia-Marie,3
Alaia-Rae,5
Alaia-Rose,5
Alaiah,4
Alaika,3
Alaina,59
Alaiya,36
Alaiyah,17
Alaiza,7
Alana,244
Alana-Rose,9
Alanah,19
Alani,28
Alanis,4
Alanna,58
Alannah,48
Alannah-Rose,3
Alanya,5
Alara,86
Alara-Rose,3
Alarah,5
Alarna,16
Alarnah,3
Alarni,4
Alaska,21
Alaw,15
Alaya,169
Alaya-Grace,4
Alaya-Nur,3
Alaya-Rose,5
Alayah,110
Alayah-Grace,3
Alayah-Mae,4
Alayah-Rae,4
Alayah-Rose,5
Alayha,6
Alayka,3
Alaylah,3
Alayna,203
Alaynah,12
Alba,352
Alba-Rose,3
Albany,4
Alberta,4
Albertina,3
Albertine,4
Alea,25
Aleah,17
Alecia,4
Aleeha,11
Aleema,7
Aleen,16
Aleena,180
Aleenah,4
Aleesa,4
Aleesha,10
Aleeya,4
Aleeyah,3
Aleeza,34
Aleezah,4
Aleezay,3
Aleha,8
Aleia,11
Aleina,3
Alejandra,4
Aleksandra,49
Alena,30
Alesha,21
Alesia,20
Alessa,4
Alessandra,13
Alessia,161
Alessya,5
Alethea,15
Aletheia,9
Alex,15
Alexa,15
Alexandra,318
Alexandria,30
Alexandrina,5
Alexia,44
Alexina,3
Alexis,77
Aleya,11
Aleyah,13
Aleyna,30
Alia,50
Aliana,20
Alianna,6
Alice,1359
Alice-Rose,7
Alicia,136
Alicja,101
Alifa,3
Alifiya,3
Aliha,10
Alika,3
Aliki,4
Alilah,3
Alima,9
Alin,5
Alina,181
Alinah,4
Aline,4
Alinea,3
Alisa,69
Alise,18
Alisha,143
Alishba,16
Alisia,14
Alison,22
Alissa,37
Alissia,26
Alita,11
Alivia,26
Alix,7
Aliya,80
Aliyah,140
Aliyah-Rose,5
Aliyana,9
Aliye,3
Aliyza,4
Aliyzah,3
Aliz,3
Aliza,173
Aliza-Rose,3
Alizah,17
Alizay,19
Alizeh,20
Alizey,7
Allana,11
Allanah,4
Allayah,6
Allegra,52
Allie,23
Allison,16
Allora,3
Ally,4
Allyssa,3
Alma,177
Almaas,3
Almas,7
Almina,4
Almira,6
Alora,51
Alora-Rose,3
Alpha,3
Altea,4
Althea,30
Alula,8
Aluna,23
Alva,15
Alvie,3
Alvina,5
Alya,64
Alyaanah,9
Alyana,22
Alyanna,3
Alycia,12
Alydia,3
Alylah,5
Alyna,4
Alyra,4
Alys,97
Alysa,6
Alysha,6
Alysia,15
Alyssa,240
Alyssa-Rae,4
Alyssa-Rose,3
Alyssia,62
Alyssia-Rose,3
Alyvia,4
Alyx,5
Alyza,32
Ama,3
Amaal,28
Amaana,5
Amaanah,21
Amaani,12
Amaara,8
Amaari,3
Amaaya,7
Amabella,3
Amadea,3
Amaia,45
Amaira,30
Amairah,9
Amaiya,16
Amaiyah,12
Amal,190
Amala,10
Amaleigh,4
Amalia,125
Amalie,31
Amaliyah,3
Amana,10
Amanah,28
Amanat,14
Amanda,54
Amani,64
Amara,293
Amara-Grace,3
Amara-Leigh,4
Amara-Mae,7
Amara-Rose,5
Amarachi,15
Amarachukwu,4
Amarah,40
Amari,52
Amari-Rae,3
Amaria,6
Amariah,17
Amaris,16
Amarissa,6
Amariyah,6
Amarlia,3
Amarni,6
Amaryllis,4
Amatullah,9
Amaya,423
Amaya-Grace,5
Amaya-Mae,4
Amaya-Noor,4
Amaya-Rae,4
Amaya-Rose,12
Amayah,131
Amayah-Rose,4
Amayla,3
Amayra,28
Amayrah,10
Amba,4
Ambar,10
Amber,594
Amber-Lily,3
Amber-Rose,13
Amberley,7
Amberly,5
Ambla,5
Ambra,14
Ambreen,3
Amedea,3
Amedeea,3
Ameena,14
Ameenah,9
Ameera,92
Ameerah,65
Ameila,3
Ameira,4
Ameja,5
Amel,10
Amela,3
Ameli,3
Amelia,3164
Amelia-Ann,3
Amelia-Faith,4
Amelia-Grace,27
Amelia-Jade,4
Amelia-Jane,3
Amelia-Lilly,3
Amelia-Lily,11
Amelia-Louise,3
Amelia-Mae,17
Amelia-May,4
Amelia-Rae,12
Amelia-Rose,120
Ameliah,6
Amelie,598
Amelie-Rose,5
Amelija,21
Ameline,3
Ameliya,5
Amelle,8
Amely,5
Amelya,3
Amen,14
Amena,6
Amera,3
Amethyst,4
Ameya,14
Ameyah,5
Amia,14
Amiah,11
Amie,11
Amiira,7
Amila,12
Amilah,8
Amilia,11
Amilie,3
Amina,195
Aminah,98
Aminat,3
Aminata,13
Amine,8
Amira,327
Amira-Rose,6
Amirah,148
Amity,6
Amiya,21
Amiyah,86
Amiyah-Rose,5
Amla,17
Amma,3
Ammaarah,8
Ammara,10
Ammarah,17
Amna,37
Amnah,3
Amor,3
Amora,36
Amorah,3
Amore,3
Amour,4
Amoura,10
Amra,4
Amreen,13
Amreet,4
Amrit,15
Amrita,8
Amriya,3
Amy,166
Amy-Rose,5
Amyah,4
Amyra,47
Amyrah,14
An,5
Ana,108
Ana-Maria,12
Anaaya,17
Anaayah,3
Anab,3
Anabel,14
Anabella,14
Anabelle,18
Anabia,68
Anabiya,12
Anah,5
Anahad,3
Anahat,10
Anahi,5
Anahita,4
Anaia,6
Anaiah,24
Anaiah-Grace,3
Anaika,4
Anaira,7
Anais,102
Anaisa,11
Anaisha,19
Anaiya,45
Anaiyah,24
Anaiza,16
Anaizah,4
Analia,10
Anam,20
Anamaria,5
Anamika,5
Anamta,5
Ananiya,3
Ananya,22
Anara,4
Anashe,9
Anastacia,3
Anastasia,369
Anastasia-Maria,9
Anastasija,3
Anastasiya,5
Anastasya,3
Anastazia,4
Anastazja,30
Anaya,396
Anaya-Rose,3
Anayah,101
Anayah-Rose,3
Anayat,11
Anayra,18
Anays,34
Andi,6
Andie,4
Andra,20
Andrada,6
Andraya,3
Andrea,33
Andreea,35
Andreia,5
Andriana,6
Andrianna,3
Andromeda,4
Aneeka,5
Aneesa,13
Aneesha,5
Aneira,21
Anelia,4
Anelis,4
Anelise,10
Anelisse,3
Anella,6
Anesa,5
Anest,5
Anesu,3
Aneta,6
Anfal,6
Angel,115
Angel-Rose,6
Angela,45
Angelica,34
Angelika,4
Angeliki,5
Angelina,44
Angelique,3
Angellica,4
Angharad,6
Angie,4
Anh,3
Anha,3
Anhaar,3
Ani,11
Ania,18
Aniah,5
Aniela,21
Anika,63
Aniko,3
Anisa,20
Anisha,13
Anisia,12
Anissa,3
Anita,22
Aniya,27
Aniyah,64
Aniyah-Rose,3
Anja,10
Anjali,17
Anjolaoluwa,5
Ann,23
Ann-Marie,4
Anna,545
Anna-Mae,5
Anna-Maria,7
Anna-Rose,3
Anna-Sophia,5
Annabel,165
Annabell,4
Annabella,66
Annabella-Rose,3
Annabelle,468
Annabelle-Rose,5
Annabeth,3
Annalee,5
Annaleigh,3
Annalie,3
Annaliese,7
Annalise,36
Annayah,3
Annays,3
Anne,20
Anne-Marie,8
Anneka,3
Anneli,3
Annelie,6
Anneliese,9
Annelise,11
Annemarie,3
Annetta,3
Annette,4
Anni,15
Annie,457
Annie-Mae,7
Annie-May,6
Annie-Rose,12
Annika,21
Anniyah,4
Annmarie,4
Annora,3
Annya,3
Anora,3
Anouk,8
Anoushka,21
Ansha,5
Anshi,3
Anshika,5
Antalya,3
Antigone,6
Antigoni,3
Antoinette,3
Antonela,3
Antonella,13
Antonia,180
Antonia-Elena,5
Antonia-Ioana,4
Antonia-Maria,5
Antonina,49
Anum,13
Anuoluwa,3
Anushka,13
Anvi,19
Anvika,8
Anwaar,3
Anwen,29
Anwitha,3
Anya,171
Anyah,4
Anzal,4
Anzish,4
Aoibh,3
Aoibhe,5
Aoibheann,3
Aoibhin,6
Aoibhinn,3
Aoife,269
Aphelia,3
Aphra,13
Aphrodite,3
Apolline,7
Apollonia,4
Apolonia,9
Apphia,3
April,185
April-Rose,6
Apryl,4
Aqsa,118
Ara,9
Arabella,1012
Arabella-Grace,8
Arabella-Mae,9
Arabella-Rose,35
Arabelle,13
Aradhya,6
Arafah,4
Araia,4
Araiya,7
Araiyah,5
Araminta,7
Araoluwa,9
Araoluwanimi,3
Araya,42
Arayah,20
Ardaas,3
Arden,9
Areeba,14
Areebah,3
Areej,7
Areen,3
Areeqa,3
Areesha,18
Arella,5
Areya,15
Arfa,20
Arha,6
Ari,13
Aria,1202
Aria-Grace,5
Aria-Jade,3
Aria-Jayne,4
Aria-Louise,4
Aria-Mae,8
Aria-Mai,3
Aria-Rae,10
Aria-Rose,47
Ariadna,7
Ariadne,34
Ariadni,4
Ariah,68
Ariam,12
Ariana,354
Ariana-Elena,3
Arianah,5
Ariane,3
Arianna,112
Arianna-Mae,3
Arianne,6
Arianwen,16
Ariba,5
Aribella,9
Arie,5
Ariel,37
Ariela,12
Ariele,4
Ariella,264
Ariella-Grace,4
Ariella-Mae,6
Ariella-Rae,3
Ariella-Rose,6
Arielle,87
Aries,5
Arifa,4
Arija,6
Arika,4
Arike,3
Arilena,3
Arin,4
Arina,16
Arisa,9
Arisha,40
Arishfa,3
Arissa,26
Arista,3
Ariya,113
Ariya-Rose,3
Ariyah,78
Ariyana,10
Arizona,12
Arla,140
Arla-Mae,6
Arla-Rae,8
Arla-Rose,16
Arlah,6
Arlandria,5
Arleen,5
Arlette,4
Arley,5
Arlia,19
Arliah,4
Arlie,10
Arliyah,6
Arlo,16
Arlowe,3
Armani,16
Arna,8
Arnika,7
Arooj,4
Aroosh,10
Arora,3
Arrabella,13
Arrayah,4
Arrietty,23
Arsema,6
Arshiya,5
Artemis,46
Arveen,3
Arwa,71
Arwa-Noor,3
Arwaa,5
Arwen,50
Arwyn,10
Arya,344
Arya-Grace,3
Aryaa,3
Aryah,4
Aryam,12
Aryana,20
Aryanna,6
Aryia,4
Arzoi,8
Arzoyi,4
Arzu,3
Asa,5
Asal,4
Ascia,5
Aseda,5
Aseel,22
Asees,52
Asel,19
Asena,3
Asenat,3
Asha,26
Ashanti,13
Ashira,3
Ashlee,3
Ashleen,11
Ashleigh,28
Ashley,37
Ashling,3
Ashlyn,5
Ashvika,4
Asia,23
Asinat,3
Asiya,63
Asiyah,60
Asli,3
Aslihan,7
Asma,36
Asmaa,12
Asmara,3
Asmin,6
Asna,4
Aspen,21
Aspyn,4
Asra,14
Assia,3
Assiya,3
Asta,9
Aster,32
Astoria,4
Astra,9
Astraea,3
Astrid,209
Asya,26
Atalia,6
Atara,3
Atarah,19
Atena,5
Atene,7
Athalia,7
Athaliah,4
Athea,19
Atheer,3
Athena,277
Athena-Rose,10
Athenais,3
Athene,4
Athina,8
Atifa,4
Atinuke,3
Atiya,4
Atlanta,17
Atlantis,4
Atlas,6
Atrisa,5
Aubree,133
Aubrey,231
Aubrey-Rose,4
Aubrie,27
Aubriella,4
Aubrielle,5
Audrey,141
August,11
Augusta,7
Aura,65
Auraelia,8
Aurea,4
Aureja,4
Aurelia,250
Aurelie,11
Aureya,3
Auri,8
Aurianna,3
Auriella,5
Aurla,5
Aurora,910
Aurora-Leigh,4
Aurora-Lily,3
Aurora-Mae,11
Aurora-Mai,4
Aurora-May,3
Aurora-Rae,3
Aurora-Rose,19
Austeja,4
Austen,3
Autumn,481
Autumn-Grace,6
Autumn-Lily,3
Autumn-Rae,8
Autumn-Rose,38
Ava,2576
Ava-Grace,93
Ava-Jane,3
Ava-Lee,5
Ava-Leigh,33
Ava-Lilly,3
Ava-Lily,9
Ava-Louise,12
Ava-Mae,110
Ava-Mai,29
Ava-Maria,6
Ava-Marie,16
Ava-May,28
Ava-Nicole,3
Ava-Noor,4
Ava-Rae,25
Ava-Rose,153
Avaani,25
Avah,23
Avah-Leigh,3
Avaiyah,5
Avaleigh,7
Avaley,3
Avalie,4
Avalina,3
Avalon,9
Avalyn,7
Avalynn,3
Avana,12
Avangeline,3
Avani,40
Avanthika,4
Avantika,3
Avarie,5
Avarni,3
Avary,3
Avaya,28
Avaya-Grace,3
Avaya-Rose,3
Avayah,18
Avayah-Rose,3
Aveera,3
Avelina,3
Aveline,7
Avella,3
Avelyn,4
Averie,24
Averly,4
Avery,131
Avery-May,3
Avery-Rose,3
Avesta,3
Aveyah,3
Avi,3
Avia,6
Aviah,3
Aviana,13
Avianna,14
Avie,41
Avie-Mae,3
Aviella,4
Avielle,6
Avigail,6
Avigayil,4
Avika,8
Avina,5
Avira,10
Avishka,3
Avleen,22
Avneet,41
Avni,30
Avnoor,17
Avreen,10
Avreet,5
Avril,10
Avyanna,3
Awa,14
Awel,4
Awen,10
Aya,192
Ayaan,4
Ayaana,24
Ayaanah,4
Ayaat,40
Ayah,265
Ayah-Noor,3
Ayah-Nur,4
Ayala,10
Ayan,4
Ayana,67
Ayanah,16
Ayanna,29
Ayat,266
Ayat-Noor,5
Ayda,267
Ayda-Grace,7
Ayda-Mae,3
Ayda-May,3
Ayda-Rose,4
Aydah,7
Ayesha,152
Ayeza,60
Ayezah,4
Ayia,3
Ayisha,8
Aykiz,5
Ayla,793
Ayla-Mae,15
Ayla-Mai,4
Ayla-Marie,4
Ayla-May,3
Ayla-Noor,3
Ayla-Rae,8
Ayla-Rose,17
Aylaa,3
Aylah,36
Ayleen,19
Aylin,43
Ayliz,17
Aylla,5
Ayma,9
Ayman,7
Ayna,5
Ayni,3
Aynoor,7
Aynur,3
Ayomide,5
Ayomikun,3
Ayra,167
Ayrah,25
Ayrin,4
Ayse,16
Aysel,7
Aysha,63
Ayva,42
Ayvah,16
Ayyat,4
Ayza,15
Ayzah,5
Ayzal,78
Ayzel,35
Azalea,44
Azalia,7
Azaria,30
Azariah,30
Azariyah,6
Azaya,12
Azayah,6
Azaylia,15
Azayliah,3
Aziza,15
Azizah,4
Azka,11
Azmin,3
Azora,3
Azra,34
Azrah,8
Azryah,8
Azuri,3
Azza,3
Azzurra,9
Baani,39
Baby,10
Bahar,10
Bailee,14
Bailey,71
Bailie,5
Bali,5
Bambi,4
Bana,5
Baneen,3
Bani,11
Baraa,3
Barakah,9
Baran,4
Barbara,23
Barbora,5
Bareen,3
Bareera,4
Bareerah,7
Barley,3
Basma,8
Bassy,3
Batool,6
Batsheva,10
Batya,4
Bay,12
Baya,3
Bayaan,3
Bayan,14
Baylee,5
Bayleigh,10
Bayleigh-Rae,3
Bayley,5
Bea,50
Beatrice,515
Beatrice-Elena,3
Beatris,4
Beatrix,314
Beatriz,38
Beau,113
Beaux,15
Bebe,5
Beca,16
Bee,13
Begw,6
Beily,6
Bela,7
Belen,4
Belinda,4
Bella,730
Bella-Louise,3
Bella-Mae,13
Bella-Mai,5
Bella-Marie,3
Bella-May,6
Bella-Rae,24
Bella-Rose,104
Bellarose,8
Bellatrix,9
Belle,147
Beloslava,3
Benedita,5
Beren,4
Bernadette,11
Bernice,3
Berry,6
Beryl,5
Bess,4
Bessie,23
Betania,5
Betelhem,3
Beth,23
Bethan,28
Bethany,219
Bethel,10
Bethlehem,3
Beti,7
Betsan,9
Betsi,17
Betsie,16
Betsy,286
Betsy-Blu,4
Betsy-Lou,5
Betsy-Mae,5
Bette,5
Bettie,8
Betty,109
Betty-Lou,3
Betty-Rose,4
Beulah,8
Bexley,5
Beyza,7
Bhavya,3
Bianca,97
Bianka,36
Bibi,23
Bihani,3
Billie,218
Billie-Beau,3
Billie-Jo,12
Billie-Mae,13
Billie-May,5
Billie-Rae,4
Billie-Rose,13
Binkie,3
Binky,6
Binta,4
Bintou,5
Birdie,34
Bisma,16
Bismah,5
Bita,3
Bitania,3
Bitanya,3
Blair,48
Blaire,9
Blaise,4
Blake,102
Blakely,13
Blanca,8
Blanka,41
Blayke,4
Blaze,5
Blen,3
Blessing,22
Bleu,16
Bleubelle,3
Blima,3
Blimi,7
Bliss,7
Bloom,15
Blossom,141
Blossom-Rose,4
Blousey,4
Blousie,4
Blu,7
Blubelle,3
Blue,12
Bluebell,28
Bluebelle,20
Blythe,17
Bo,11
Bobbi,35
Bobbi-Mae,3
Bobbie,69
Bobby,5
Bodhi,23
Boe,11
Bonita,7
Bonnie,1121
Bonnie-Ann,4
Bonnie-Beau,3
Bonnie-Bleu,6
Bonnie-Blu,8
Bonnie-Blue,5
Bonnie-Bow,3
Bonnie-Grace,4
Bonnie-Jo,5
Bonnie-Lea,3
Bonnie-Lee,5
Bonnie-Leigh,18
Bonnie-Louise,4
Bonnie-Mae,29
Bonnie-Mai,9
Bonnie-Marie,6
Bonnie-May,7
Bonnie-Rae,27
Bonnie-Rai,4
Bonnie-Rose,28
Bonny,9
Bora,10
Borisa,5
Boudica,4
Bow,15
Bowie,28
Bozhidara,5
Brae,3
Branwen,3
Brea,8
Breanna,8
Bree,15
Breindy,5
Brenda,3
Bria,19
Briana,13
Brianna,101
Brianna-Mae,3
Brianne,3
Briar,15
Briar-Rose,4
Bridey,4
Bridget,53
Bridie,19
Brie,5
Brieanna,3
Briella,24
Brielle,43
Brienna,4
Brienne,4
Brigid,3
Brigitte,3
Briony,9
Britney,7
Brittany,6
Brodie,17
Brody,3
Brogan,8
Bronte,32
Bronwen,15
Bronwyn,7
Brook,4
Brooke,207
Brooke-Lyn,3
Brooklyn,48
Brooklynn,3
Bruchi,4
Bruna,4
Bryanna,4
Bryce,3
Brydie,4
Bryher,5
Bryony,37
Buglem,3
Bunnie,4
Bunny,3
Bunty,3
Bushra,21
Cadence,14
Cadhla,6
Cadi,41
Cadie,5
Caia,11
Caira,6
Caitlin,77
Caitlyn,25
Caleigh,5
Cali,73
Cali-Mae,4
Calista,12
Calla,7
Calli,5
Callia,4
Callie,296
Callie-Mae,3
Callie-Marie,3
Callie-Rae,5
Callie-Rose,14
Calliope,26
Callista,12
Callisto,3
Cally,12
Calypso,3
Camelia,17
Camellia,4
Cameron,7
Cami,5
Camila,43
Camilla,88
Camille,72
Cammie,4
Candace,6
Candice,9
Caoilinn,3
Caoimhe,36
Capri,12
Caprice,5
Cara,123
Cari,11
Cariad,6
Carina,22
Caris,4
Carissa,6
Carla,75
Carlie,3
Carlota,11
Carlotta,9
Carly,12
Carmel,4
Carmela,7
Carmella,3
Carmen,49
Carol,6
Carolina,33
Caroline,30
Carolyn,4
Carrie,11
Cartia,4
Cartier,3
Carys,48
Casandra,3
Casey,38
Casey-Mae,4
Casi,7
Casiana,5
Casie,4
Cassandra,50
Cassia,29
Cassidy,47
Cassie,75
Cassiopeia,5
Cataleya,92
Catalina,28
Catarina,14
Caterina,8
Catherine,95
Catrin,13
Catriona,6
Cattleya,6
Cayla,6
Cece,54
Cecelia,62
Cecile,9
Cecilia,155
Cecilie,5
Cecily,53
Celeste,64
Celestine,8
Celia,44
Celina,20
Celine,104
Celline,3
Celyn,16
Cerise,3
Cerys,49
Cet,3
Chana,19
Chanai,3
Chance,4
Chanel,16
Chanelle,3
Chani,9
Channah,3
Chantelle,15
Chany,3
Chardonnay,5
Charis,11
Charlee,8
Charleigh,5
Charlene,5
Charley,29
Charley-Rose,3
Charli,5
Charlie,49
Charlie-Rose,3
Charlotte,1654
Charlotte-Grace,3
Charlotte-Rose,6
Charmaine,6
Charvi,4
Chava,5
Chavi,7
Chaya,40
Chelsea,47
Chelsie,4
Cherry,25
Cheyenne,4
Chi,3
Chiamaka,8
Chiara,59
Chicago,4
Chidera,9
Chigozirim,3
Chikaima,4
Chimamanda,23
Chimbusomma,3
Chinenye,3
Chinyere,3
Chioma,3
Chisom,10
Chizara,8
Chizaram,14
Chiziterem,3
Chloe,932
Chloe-Mae,3
Chloe-Rose,3
Chrislyn,3
Chrissie,4
Chrissy,3
Christabel,14
Christiana,17
Christina,51
Christine,24
Ciana,10
Cianna,9
Ciara,78
Cicely,10
Cici,14
Ciella,3
Cielo,3
Cienna,22
Cienna-Rose,3
Cindy,12
Cirilla,3
Cissy,3
Claire,35
Clara,574
Clare,10
Clarice,4
Clarissa,16
Clarisse,3
Clarke,6
Claudia,78
Claudie,5
Clea,8
Clelia,5
Clemence,11
Clemency,12
Clementine,290
Clemmie,37
Cleo,359
Cleopatra,24
Clio,9
Clodagh,28
Cloe,5
Clover,38
Coco,69
Colbie,4
Colette,20
Connie,338
Connie-Leigh,3
Connie-Mae,9
Connie-Mai,4
Connie-May,3
Connie-Rae,5
Constance,124
Constantina,3
Cooper,3
Cora,349
Corah,6
Coral,22
Coralie,17
Coraline,6
Cordelia,36
Corinne,7
Cornelia,7
Cosette,4
Cosima,18
Courtney,21
Cove,10
Cressida,13
Crina,6
Cristina,17
Croia,10
Croiadh,3
Crystal,50
Crystal-Rose,5
Csenge,3
Cydney,5
Cynthia,10
Cyra,10
Daenerys,4
Dafne,5
Dahlia,81
Daiana,11
Daisey,3
Daisey-Mae,5
Daisie,34
Daisie-Mae,4
Daisie-Rae,4
Daisy,1873
Daisy-Anne,4
Daisy-Belle,3
Daisy-Grace,7
Daisy-Jane,3
Daisy-Jayne,3
Daisy-Leigh,8
Daisy-Lou,5
Daisy-Louise,3
Daisy-Mae,60
Daisy-Mai,12
Daisy-Marie,3
Daisy-May,42
Daisy-Rae,12
Daisy-Rey,3
Daisy-Rose,3
Dakota,92
Dakota-Rae,4
Dakota-Rose,4
Daleyza,3
Dali,13
Dalia,44
Daliah,3
Dalila,5
Dalilah,10
Daliya,3
Daliyah,3
Dallas,8
Damaris,12
Damilola,7
Damson,3
Dan,3
Dana,36
Danae,5
Danah,3
Danaya,6
Daneen,17
Dani,12
Dani-Lee,3
Dania,41
Danica,10
Daniela,41
Daniele,6
Daniella,73
Danielle,29
Danika,3
Daniya,4
Danni,8
Danya,3
Daphne,214
Dara,15
Darasimi,3
Darby,18
Darcee,4
Darcey,350
Darcey-Leigh,4
Darcey-Mae,5
Darcey-May,6
Darcey-Rae,5
Darcey-Rose,6
Darci,20
Darcia,4
Darcie,623
Darcie-Anne,4
Darcie-Grace,5
Darcie-Jo,3
Darcie-Leigh,16
Darcie-Mae,41
Darcie-Mai,8
Darcie-May,9
Darcie-Rae,31
Darcie-Rose,23
Darcy,351
Darcy-Leigh,4
Darcy-Mae,15
Darcy-Mai,3
Darcy-May,3
Darcy-Rae,7
Darcy-Rose,5
Dareen,4
Daria,131
Daria-Maria,4
Darina,6
Dariya,7
Darla,80
Darla-Mae,4
Darla-Rae,5
Darla-Rose,7
Darley,4
Darlia,6
Darlie,4
Darragh,3
Darsie,3
Darwin,4
Darya,11
Dasha,6
Davina,13
Dawn,5
Daya,25
Dayana,17
Dayanna,3
Dayna,4
Dea,12
Deana,3
Deanna,7
Debbie,4
Debora,14
Deborah,45
Deedee,3
Deem,8
Deema,4
Deena,13
Deeya,4
Defne,9
Deia,10
Deimante,3
Deina,3
Deja,3
Dekota,3
Dela,3
Delainey,3
Delana,3
Delaney,13
Delanie,3
Delara,6
Delia,54
Delila,4
Delilah,981
Delilah-Ann,3
Delilah-Bleu,3
Delilah-Blu,3
Delilah-Grace,10
Delilah-Mae,9
Delilah-Mai,4
Delilah-May,7
Delilah-Rae,20
Delilah-Rose,81
Delina,9
Deliylah,4
Della,20
Delphi,20
Delphine,27
Delsa,6
Delsie,4
Delta,8
Delvin,5
Delylah,5
Delyth,4
Demelza,11
Demetra,4
Demetria,3
Demi,91
Demi-Lee,3
Demi-Leigh,16
Demi-Rae,3
Demilade,6
Denisa,16
Denise,3
Denitsa,3
Deniz,10
Dennie,5
Denver,9
Derin,5
Deryn,4
Desire,8
Desiree,11
Despina,5
Destinee,4
Destiny,75
Destiny-Rae,4
Destiny-Rose,4
Deva,4
Devanshi,5
Devanya,3
Devi,8
Devika,6
Devina,8
Devoirah,3
Devoiry,4
